#loc_id	ags	ascii	name	lat	lon	amt	plz	vorwahl	einwohner	flaeche	kz	typ	level	of	invalid
79247	G2882	BENNWIL	Bennwil	47.396023	7.771294		4431		603	65.1	BL	Gemeinde	6	78592	
79471	G4225	BENZENSCHWIL	Benzenschwil	47.245797	8.35749		5636		518	24.5	AG	Gemeinde	6	78629	
31886	G5512	BERCHER	Bercher	46.695817	6.706996		1038		878	42.6		Gemeinde	6	78666	
78704	G0023	BERG	Berg am Irchel	47.56165	8.592867		8415		573	70.2	ZH	Gemeinde	6	78517	
79276	G3211	BERG	Berg (SG)	47.484659	9.398366		9305		846	37.4	SG	Gemeinde	6	78604	
79534	G4891	BERG	Berg (TG)	47.579542	9.154471		8572		2876	130.9	TG	Gemeinde	6	78640	
79393	G4023	BERGDIETIKON	Bergdietikon	47.38778	8.374724		8962		2256	59.3	AG	Gemeinde	6	78623	
79312	G3521	BERGUEN/BRAVUOGN	Bergün/Bravuogn	46.623869	9.785334		7482		520	1457.4	GR	Gemeinde	6	78611	
30451	G4062	BERIKON	Berikon	47.351674	8.383835		8965		4358	53.6		Gemeinde	6	78624	
31484	G2932	BERINGEN	Beringen	47.700216	8.573516		8222		3027	141.7		Gemeinde	6	78595	
78957	G0972	BERKEN	Berken	47.224843	7.705995		3376		51	13.9	BE	Gemeinde	6	78553	
79530	G4801	BERLINGEN	Berlingen	47.664401	9.023712		8267		854	35.6	TG	Gemeinde	6	78639	
136	K02	BERN	Bern	46.943696	7.349325326						BE	Kanton	3	107	
78530	B0203	BERN	Amtsbezirk Bern						244532	2332.9	BE	Amtsbezirk	4	136	
30599	G0351	BERN	Bern	46.940072	7.399628		3040,3030,3024,3027,3020,3019,3018,3015,3014,3013,3012,3011,3010,3008,3007,3006,3005,3004,3003,3001,3000		128634	516.2		Stadt	6	78530	
31401	G3233	BERNECK	Berneck	47.423992	9.612456		9442		3289	56.2		Gemeinde	6	78605	
30969	G6607	BERNEX	Bernex	46.178972	6.064205		1233		9076	129.9		Gemeinde	6	78693	
78612	B1822	BERNINA	Distretto di Bernina	46.32978	10.066105398				4427	2373	GR	Distretto	4	142	
